question,answer,correct_feedback,wrong_feedback,hint
"2 + 3 = ?",5,"答對了！你真棒！","不對喔，再試一次。","提示：比 4 大"
"1 + 5 = ?",6,"完全正確！","差一點點，加油！","提示：比 5 大"
"4 + 4 = ?",8,"太厲害了！","這個答案不對喔。","提示：偶數"
"6 + 2 = ?",8,"答對了！繼續努力！","再想想看。","提示：跟 4+4 一樣"
"3 + 4 = ?",7,"你答對了！","嗯...好像不是這個答案。","提示：奇數"
"5 + 5 = ?",10,"滿分！","不對耶，這是兩隻手的指頭數量喔。","提示：兩位數"
"7 + 1 = ?",8,"正確答案！","答錯了，別灰心。","提示：比 7 大"
"2 + 2 = ?",4,"答對了！","不對喔，很接近了。","提示：偶數"
"9 + 0 = ?",9,"答對囉！","加零應該沒變喔。","提示：還是原來的數字"
"3 + 3 = ?",6,"好棒！","再算算看手指頭？","提示：比 5 大一點"